Canton,ID,NOGA,Size,Establishment,Nr,Companies,Employees,Households,Houseprices,Population,Graduates,Employment,Owners
Zürich,1,"01 Landwirtschaft, Jagd und damit verbundene Tätigkeiten",1,1-9 Employees,1,-0.0831812255541069,-0.0745554035567716,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,1,"01 Landwirtschaft, Jagd und damit verbundene Tätigkeiten",2,10-49 Employees,1,-0.166666666666667,-0.128807658833769,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,2,02 Forstwirtschaft und Holzeinschlag,1,1-9 Employees,1,0.0594059405940594,-0.0174216027874564,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,2,02 Forstwirtschaft und Holzeinschlag,2,10-49 Employees,1,1.5,0.352,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,3,03 Fischerei und Aquakultur,1,1-9 Employees,1,-0.2,0.173913043478261,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,8,"08 Gewinnung von Steinen und Erden, sonstiger Bergbau",1,1-9 Employees,1,-0.444444444444444,-0.220779220779221,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,8,"08 Gewinnung von Steinen und Erden, sonstiger Bergbau",2,10-49 Employees,1,-0.0769230769230769,-0.114583333333333,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,10,10 Herstellung von Nahrungs- und Futtermitteln,1,1-9 Employees,1,0.575,0.514820592823713,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,10,10 Herstellung von Nahrungs- und Futtermitteln,2,10-49 Employees,1,-0.124087591240876,-0.0256060088767497,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,10,10 Herstellung von Nahrungs- und Futtermitteln,3,50-249 Employees,1,0.157894736842105,-0.0172518159806295,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,11,11 Getränkeherstellung,1,1-9 Employees,1,0.3,0.203125,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,13,13 Herstellung von Textilien,1,1-9 Employees,1,-0.0210526315789474,-0.179389312977099,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,14,14 Herstellung von Bekleidung,1,1-9 Employees,1,0.131832797427653,0.128691983122363,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,14,14 Herstellung von Bekleidung,2,10-49 Employees,1,1,0.0923076923076923,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,15,"15 Herstellung von Leder, Lederwaren und Schuhen",1,1-9 Employees,1,0.15625,-0.0740740740740741,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,16,"16 Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",1,1-9 Employees,1,-0.0143603133159269,0.0149916712937257,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,16,"16 Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",2,10-49 Employees,1,-0.132075471698113,-0.113924050632911,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,17,"17 Herstellung von Papier, Pappe und Waren daraus",1,1-9 Employees,1,-0.444444444444444,-0.436363636363636,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,17,"17 Herstellung von Papier, Pappe und Waren daraus",2,10-49 Employees,1,-0.230769230769231,-0.321525885558583,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,18,"18 Herstellung von Druckerzeugnissen, Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",1,1-9 Employees,1,-0.184855233853007,-0.221020092735703,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,18,"18 Herstellung von Druckerzeugnissen, Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",2,10-49 Employees,1,-0.17910447761194,-0.266887417218543,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,18,"18 Herstellung von Druckerzeugnissen, Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",3,50-249 Employees,1,-0.4,-0.146860404774261,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,20,20 Herstellung von chemischen Erzeugnissen,1,1-9 Employees,1,0.0816326530612245,0.0805369127516778,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,20,20 Herstellung von chemischen Erzeugnissen,2,10-49 Employees,1,0.0909090909090909,-0.185233160621762,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
Zürich,20,20 Herstellung von chemischen Erzeugnissen,3,50-249 Employees,1,-0.0555555555555556,-0.0110570544007077,651857,0.151746923129009,14.1465365621776,220350,0.8313,0.275
