NOGA,Industry,Capitalratio
8,"Gewinnung von Steinen und Erden, sonstiger Bergbau",1.362033634
10,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,1.434527001
11,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,1.434527001
12,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,1.434527001
13,Herstellung von Textilien und Bekleidung,1.997239836
14,Herstellung von Textilien und Bekleidung,1.997239836
15,Herstellung von Textilien und Bekleidung,1.997239836
16,"Herstellung von Holzwaren, Papier und Druckerzeugnissen",3.175942915
17,"Herstellung von Holzwaren, Papier und Druckerzeugnissen",3.175942915
18,"Herstellung von Holzwaren, Papier und Druckerzeugnissen",3.175942915
19,"Kokerei, Mineralölverarbeitung und Herstellung von chemischen Erzeugnissen",1.260807446
20,"Kokerei, Mineralölverarbeitung und Herstellung von chemischen Erzeugnissen",1.260807446
21,Herstellung von pharmazeutischen Erzeugnissen,0.400565197
22,Herstellung von Gummi- und Kunststoffwaren,2.198663173
23,Herstellung von Gummi- und Kunststoffwaren,2.198663173
24,Herstellung von Metallerzeugnissen,3.188909986
25,Herstellung von Metallerzeugnissen,3.188909986
26,Herstellung von Datenverarbeitungsgeräten und Uhren,1.411964443
27,Herstellung von elektrischen Ausrüstungen,2.000885733
28,Maschinenbau,2.495216044
29,Fahrzeugbau,2.724001564
30,Fahrzeugbau,2.724001564
31,"Sonstige Herstellung von Waren, Reparatur und Installation",2.42495082
32,"Sonstige Herstellung von Waren, Reparatur und Installation",2.42495082
33,"Sonstige Herstellung von Waren, Reparatur und Installation",2.42495082
35,Energieversorgung,2.018017751
36,"Wasserversorgung, Beseitigung von Umweltverschmutzungen",1.418197243
37,"Wasserversorgung, Beseitigung von Umweltverschmutzungen",1.418197243
38,"Wasserversorgung, Beseitigung von Umweltverschmutzungen",1.418197243
39,"Wasserversorgung, Beseitigung von Umweltverschmutzungen",1.418197243
41,Hoch- und Tiefbau ,5.158558216
42,Hoch- und Tiefbau ,5.158558216
43,Sonstiges Baugewerbe ,6.176153742
45,Handel und Reparatur von Motorfahrzeugen,1.465255381
46,Grosshandel,0.585479663
47,Detailhandel,2.362043911
49,Landverkehr und Transport in Rohrfernleitungen,2.588916608
52,Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,2.499599783
55,Beherbergung,2.833076513
56,Gastronomie,4.211300495
58,"Verlagswesen, audiovisuelle Medien und Rundfunk",2.101509102
59,"Verlagswesen, audiovisuelle Medien und Rundfunk",2.101509102
60,"Verlagswesen, audiovisuelle Medien und Rundfunk",2.101509102
61,Telekommunikation,1.219238251
62,Informationstechnologische und Informationsdienstleistungen,2.184484311
63,Informationstechnologische und Informationsdienstleistungen,2.184484311
68,Grundstücks- und Wohnungswesen,1.354653795
69,"Rechts- und Steuerberatung, Wirtschaftsprüfung",4.608741476
70,Unternehmensverwaltung und -führung; Unternehmensberatung,0.826846486
71,Architektur- und Ingenieurbüros,5.71872175
72,Forschung und Entwicklung,1.103249936
73,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten",3.550924398
74,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten",3.550924398
75,"Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten",3.550924398
77,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,3.525760443
79,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,3.525760443
80,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,3.525760443
81,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,3.525760443
82,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,3.525760443
78,Vermittlung und Überlassung von Arbeitskräften,20.8039201
85,Erziehung und Unterricht,3.968176774
87,Heime (ohne Erholungs- und Ferienheime),6.323191562
88,Sozialwesen (ohne Heime),10.41226676
90,"Kunst, Unterhaltung und Erholung",1.070390686
91,"Kunst, Unterhaltung und Erholung",1.070390686
92,"Kunst, Unterhaltung und Erholung",1.070390686
93,"Kunst, Unterhaltung und Erholung",1.070390686
94,Erbringung von sonstigen Dienstleistungen,2.685578906
95,Erbringung von sonstigen Dienstleistungen,2.685578906
96,Erbringung von sonstigen Dienstleistungen,2.685578906
